tabk(0)=491171.319040+(848929.089080i);    // Vec_kaLpi=0.050000
tabk(1)=-124769.707440+(1320784.887400i);    // Vec_kaLpi=0.052381
tabk(2)=-380716.596480+(851751.609630i);    // Vec_kaLpi=0.054875
tabk(3)=518469.058220+(847725.897370i);    // Vec_kaLpi=0.057488
tabk(4)=504399.004610+(841033.607510i);    // Vec_kaLpi=0.060225
tabk(5)=500882.172130+(833939.457140i);    // Vec_kaLpi=0.063093
tabk(6)=500821.729780+(827930.815400i);    // Vec_kaLpi=0.066097
tabk(7)=506946.526580+(829466.957680i);    // Vec_kaLpi=0.069244
tabk(8)=507128.946840+(824205.775890i);    // Vec_kaLpi=0.072541
tabk(9)=511106.602460+(826860.681140i);    // Vec_kaLpi=0.075996
tabk(10)=514044.135250+(828540.914350i);    // Vec_kaLpi=0.079614
tabk(11)=515344.679120+(822700.294650i);    // Vec_kaLpi=0.083405
tabk(12)=518099.167390+(825064.096920i);    // Vec_kaLpi=0.087376
tabk(13)=520389.573320+(826824.784730i);    // Vec_kaLpi=0.091537
tabk(14)=522321.882580+(828096.049040i);    // Vec_kaLpi=0.095896
tabk(15)=525899.608420+(821968.653170i);    // Vec_kaLpi=0.100462
tabk(16)=527950.713360+(823816.773880i);    // Vec_kaLpi=0.105245
tabk(17)=529966.992030+(825001.325150i);    // Vec_kaLpi=0.110257
tabk(18)=532228.607200+(825720.725240i);    // Vec_kaLpi=0.115506
tabk(19)=534973.554670+(826077.936700i);    // Vec_kaLpi=0.121006
tabk(20)=538431.230810+(826174.390920i);    // Vec_kaLpi=0.126768
tabk(21)=542822.742130+(825849.429190i);    // Vec_kaLpi=0.132804
tabk(22)=548175.882610+(824780.488110i);    // Vec_kaLpi=0.139128
tabk(23)=543689.562780+(830136.443150i);    // Vec_kaLpi=0.145753
tabk(24)=549303.852360+(827307.546710i);    // Vec_kaLpi=0.152693
tabk(25)=544970.594420+(829150.834350i);    // Vec_kaLpi=0.159963
tabk(26)=549268.330150+(822438.731910i);    // Vec_kaLpi=0.167580
tabk(27)=543367.737180+(822083.939620i);    // Vec_kaLpi=0.175560
tabk(28)=59903572.973000+(-196773695.360000i);    // Vec_kaLpi=0.183919
tabk(29)=540734.352840+(826861.973320i);    // Vec_kaLpi=0.192676
tabk(30)=-152828.088130+(2247191.893600i);    // Vec_kaLpi=0.201851
tabk(31)=1901071.292000+(2483410.170600i);    // Vec_kaLpi=0.211462
tabk(32)=14652948.754000+(216899461.840000i);    // Vec_kaLpi=0.221531
tabk(33)=556850.873870+(834811.990940i);    // Vec_kaLpi=0.232079
tabk(34)=558678.995410+(832568.419000i);    // Vec_kaLpi=0.243130
tabk(35)=560771.420300+(830112.656070i);    // Vec_kaLpi=0.254707
tabk(36)=563047.420320+(827416.028670i);    // Vec_kaLpi=0.266835
tabk(37)=565639.006230+(824470.587730i);    // Vec_kaLpi=0.279541
tabk(38)=568538.798370+(821200.678950i);    // Vec_kaLpi=0.292851
tabk(39)=571889.682430+(817692.749360i);    // Vec_kaLpi=0.306795
tabk(40)=562558.101810+(822867.394090i);    // Vec_kaLpi=0.321404
tabk(41)=564442.533880+(819163.792790i);    // Vec_kaLpi=0.336708
